UID,aoi,filepath,filename,image_src,roof_type,roof_material,dataset
975,DOM,./data/tiles/LIDAR_DOM\DOM-975-NO_ROOF-INCOMPLETE.tif,DOM-975-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1023,DOM,./data/tiles/LIDAR_DOM\DOM-1023-GABLE-BLUE_TARP.tif,DOM-1023-GABLE-BLUE_TARP.tif,LIDAR,GABLE,BLUE_TARP,TEST
1037,DOM,./data/tiles/LIDAR_DOM\DOM-1037-HIP-HEALTHY_METAL.tif,DOM-1037-HIP-HEALTHY_METAL.tif,LIDAR,HIP,HEALTHY_METAL,TRAIN
1043,DOM,./data/tiles/LIDAR_DOM\DOM-1043-HIP-HEALTHY_METAL.tif,DOM-1043-HIP-HEALTHY_METAL.tif,LIDAR,HIP,HEALTHY_METAL,TRAIN
1051,DOM,./data/tiles/LIDAR_DOM\DOM-1051-NO_ROOF-INCOMPLETE.tif,DOM-1051-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1063,DOM,./data/tiles/LIDAR_DOM\DOM-1063-HIP-IRREGULAR_METAL.tif,DOM-1063-HIP-IRREGULAR_METAL.tif,LIDAR,HIP,IRREGULAR_METAL,TRAIN
1065,DOM,./data/tiles/LIDAR_DOM\DOM-1065-NO_ROOF-INCOMPLETE.tif,DOM-1065-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TEST
1068,DOM,./data/tiles/LIDAR_DOM\DOM-1068-NO_ROOF-INCOMPLETE.tif,DOM-1068-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TEST
1073,DOM,./data/tiles/LIDAR_DOM\DOM-1073-FLAT-CONCRETE_CEMENT.tif,DOM-1073-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
1079,DOM,./data/tiles/LIDAR_DOM\DOM-1079-FLAT-CONCRETE_CEMENT.tif,DOM-1079-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
1087,DOM,./data/tiles/LIDAR_DOM\DOM-1087-NO_ROOF-INCOMPLETE.tif,DOM-1087-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1092,DOM,./data/tiles/LIDAR_DOM\DOM-1092-FLAT-CONCRETE_CEMENT.tif,DOM-1092-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
1097,DOM,./data/tiles/LIDAR_DOM\DOM-1097-GABLE-HEALTHY_METAL.tif,DOM-1097-GABLE-HEALTHY_METAL.tif,LIDAR,GABLE,HEALTHY_METAL,TRAIN
1105,DOM,./data/tiles/LIDAR_DOM\DOM-1105-NO_ROOF-INCOMPLETE.tif,DOM-1105-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1108,DOM,./data/tiles/LIDAR_DOM\DOM-1108-HIP-BLUE_TARP.tif,DOM-1108-HIP-BLUE_TARP.tif,LIDAR,HIP,BLUE_TARP,TRAIN
1122,DOM,./data/tiles/LIDAR_DOM\DOM-1122-FLAT-CONCRETE_CEMENT.tif,DOM-1122-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TEST
1126,DOM,./data/tiles/LIDAR_DOM\DOM-1126-NO_ROOF-INCOMPLETE.tif,DOM-1126-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1145,DOM,./data/tiles/LIDAR_DOM\DOM-1145-FLAT-INCOMPLETE.tif,DOM-1145-FLAT-INCOMPLETE.tif,LIDAR,FLAT,INCOMPLETE,TEST
1146,DOM,./data/tiles/LIDAR_DOM\DOM-1146-NO_ROOF-INCOMPLETE.tif,DOM-1146-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1149,DOM,./data/tiles/LIDAR_DOM\DOM-1149-GABLE-BLUE_TARP.tif,DOM-1149-GABLE-BLUE_TARP.tif,LIDAR,GABLE,BLUE_TARP,TRAIN
1159,DOM,./data/tiles/LIDAR_DOM\DOM-1159-GABLE-BLUE_TARP.tif,DOM-1159-GABLE-BLUE_TARP.tif,LIDAR,GABLE,BLUE_TARP,TEST
1160,DOM,./data/tiles/LIDAR_DOM\DOM-1160-NO_ROOF-INCOMPLETE.tif,DOM-1160-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
1162,DOM,./data/tiles/LIDAR_DOM\DOM-1162-NO_ROOF-INCOMPLETE.tif,DOM-1162-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
