UID,aoi,filepath,filename,image_src,roof_type,roof_material,dataset
1423,LCA,./data/tiles/LIDAR_LCA\LCA-1423-NO_ROOF-INCOMPLETE.tif,LCA-1423-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
2126,LCA,./data/tiles/LIDAR_LCA\LCA-2126-NO_ROOF-INCOMPLETE.tif,LCA-2126-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
2200,LCA,./data/tiles/LIDAR_LCA\LCA-2200-NO_ROOF-INCOMPLETE.tif,LCA-2200-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
2314,LCA,./data/tiles/LIDAR_LCA\LCA-2314-FLAT-CONCRETE_CEMENT.tif,LCA-2314-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
2360,LCA,./data/tiles/LIDAR_LCA\LCA-2360-NO_ROOF-INCOMPLETE.tif,LCA-2360-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
2365,LCA,./data/tiles/LIDAR_LCA\LCA-2365-NO_ROOF-INCOMPLETE.tif,LCA-2365-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
2367,LCA,./data/tiles/LIDAR_LCA\LCA-2367-GABLE-INCOMPLETE.tif,LCA-2367-GABLE-INCOMPLETE.tif,LIDAR,GABLE,INCOMPLETE,TEST
2375,LCA,./data/tiles/LIDAR_LCA\LCA-2375-FLAT-CONCRETE_CEMENT.tif,LCA-2375-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
2378,LCA,./data/tiles/LIDAR_LCA\LCA-2378-FLAT-CONCRETE_CEMENT.tif,LCA-2378-FLAT-CONCRETE_CEMENT.tif,LIDAR,FLAT,CONCRETE_CEMENT,TRAIN
2420,LCA,./data/tiles/LIDAR_LCA\LCA-2420-NO_ROOF-INCOMPLETE.tif,LCA-2420-NO_ROOF-INCOMPLETE.tif,LIDAR,NO_ROOF,INCOMPLETE,TRAIN
