UID,aoi,filepath,filename,image_src,roof_type,roof_material,dataset
975.0,DOM,./data/tiles/RGB_DOM\DOM-975-NO_ROOF-INCOMPLETE.tif,DOM-975-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
1023.0,DOM,./data/tiles/RGB_DOM\DOM-1023-GABLE-BLUE_TARP.tif,DOM-1023-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
1037.0,DOM,./data/tiles/RGB_DOM\DOM-1037-HIP-HEALTHY_METAL.tif,DOM-1037-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
1043.0,DOM,./data/tiles/RGB_DOM\DOM-1043-HIP-HEALTHY_METAL.tif,DOM-1043-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
1051.0,DOM,./data/tiles/RGB_DOM\DOM-1051-NO_ROOF-INCOMPLETE.tif,DOM-1051-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
1063.0,DOM,./data/tiles/RGB_DOM\DOM-1063-HIP-IRREGULAR_METAL.tif,DOM-1063-HIP-IRREGULAR_METAL.tif,ORTHO,HIP,IRREGULAR_METAL,TRAIN
1065.0,DOM,./data/tiles/RGB_DOM\DOM-1065-NO_ROOF-INCOMPLETE.tif,DOM-1065-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
1068.0,DOM,./data/tiles/RGB_DOM\DOM-1068-NO_ROOF-INCOMPLETE.tif,DOM-1068-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
1073.0,DOM,./data/tiles/RGB_DOM\DOM-1073-FLAT-CONCRETE_CEMENT.tif,DOM-1073-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
1079.0,DOM,./data/tiles/RGB_DOM\DOM-1079-FLAT-CONCRETE_CEMENT.tif,DOM-1079-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
1087.0,DOM,./data/tiles/RGB_DOM\DOM-1087-NO_ROOF-INCOMPLETE.tif,DOM-1087-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
