,UID,aoi,filepath,filename,image_src,roof_type,roof_material,dataset
0,975.0,DOM,./data/tiles/RGB_DOM\DOM-975-NO_ROOF-INCOMPLETE.tif,DOM-975-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
1,1023.0,DOM,./data/tiles/RGB_DOM\DOM-1023-GABLE-BLUE_TARP.tif,DOM-1023-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
2,1037.0,DOM,./data/tiles/RGB_DOM\DOM-1037-HIP-HEALTHY_METAL.tif,DOM-1037-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
3,1043.0,DOM,./data/tiles/RGB_DOM\DOM-1043-HIP-HEALTHY_METAL.tif,DOM-1043-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
4,1051.0,DOM,./data/tiles/RGB_DOM\DOM-1051-NO_ROOF-INCOMPLETE.tif,DOM-1051-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
5,1063.0,DOM,./data/tiles/RGB_DOM\DOM-1063-HIP-IRREGULAR_METAL.tif,DOM-1063-HIP-IRREGULAR_METAL.tif,ORTHO,HIP,IRREGULAR_METAL,TRAIN
6,1065.0,DOM,./data/tiles/RGB_DOM\DOM-1065-NO_ROOF-INCOMPLETE.tif,DOM-1065-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
7,1068.0,DOM,./data/tiles/RGB_DOM\DOM-1068-NO_ROOF-INCOMPLETE.tif,DOM-1068-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
8,1073.0,DOM,./data/tiles/RGB_DOM\DOM-1073-FLAT-CONCRETE_CEMENT.tif,DOM-1073-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
9,1079.0,DOM,./data/tiles/RGB_DOM\DOM-1079-FLAT-CONCRETE_CEMENT.tif,DOM-1079-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
10,1087.0,DOM,./data/tiles/RGB_DOM\DOM-1087-NO_ROOF-INCOMPLETE.tif,DOM-1087-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
11,1092.0,DOM,./data/tiles/RGB_DOM\DOM-1092-FLAT-CONCRETE_CEMENT.tif,DOM-1092-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
12,1097.0,DOM,./data/tiles/RGB_DOM\DOM-1097-GABLE-HEALTHY_METAL.tif,DOM-1097-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
13,1105.0,DOM,./data/tiles/RGB_DOM\DOM-1105-NO_ROOF-INCOMPLETE.tif,DOM-1105-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
14,1108.0,DOM,./data/tiles/RGB_DOM\DOM-1108-HIP-BLUE_TARP.tif,DOM-1108-HIP-BLUE_TARP.tif,ORTHO,HIP,BLUE_TARP,TRAIN
15,1122.0,DOM,./data/tiles/RGB_DOM\DOM-1122-FLAT-CONCRETE_CEMENT.tif,DOM-1122-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
16,1126.0,DOM,./data/tiles/RGB_DOM\DOM-1126-NO_ROOF-INCOMPLETE.tif,DOM-1126-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
17,1145.0,DOM,./data/tiles/RGB_DOM\DOM-1145-FLAT-INCOMPLETE.tif,DOM-1145-FLAT-INCOMPLETE.tif,ORTHO,FLAT,INCOMPLETE,TRAIN
18,1146.0,DOM,./data/tiles/RGB_DOM\DOM-1146-NO_ROOF-INCOMPLETE.tif,DOM-1146-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
19,1149.0,DOM,./data/tiles/RGB_DOM\DOM-1149-GABLE-BLUE_TARP.tif,DOM-1149-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
20,1159.0,DOM,./data/tiles/RGB_DOM\DOM-1159-GABLE-BLUE_TARP.tif,DOM-1159-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
21,1160.0,DOM,./data/tiles/RGB_DOM\DOM-1160-NO_ROOF-INCOMPLETE.tif,DOM-1160-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
22,1162.0,DOM,./data/tiles/RGB_DOM\DOM-1162-NO_ROOF-INCOMPLETE.tif,DOM-1162-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
23,1165.0,DOM,./data/tiles/RGB_DOM\DOM-1165-HIP-HEALTHY_METAL.tif,DOM-1165-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
24,1166.0,DOM,./data/tiles/RGB_DOM\DOM-1166-FLAT-CONCRETE_CEMENT.tif,DOM-1166-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
25,1173.0,DOM,./data/tiles/RGB_DOM\DOM-1173-NO_ROOF-INCOMPLETE.tif,DOM-1173-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
26,1175.0,DOM,./data/tiles/RGB_DOM\DOM-1175-GABLE-BLUE_TARP.tif,DOM-1175-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
27,1179.0,DOM,./data/tiles/RGB_DOM\DOM-1179-FLAT-CONCRETE_CEMENT.tif,DOM-1179-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
28,1183.0,DOM,./data/tiles/RGB_DOM\DOM-1183-FLAT-IRREGULAR_METAL.tif,DOM-1183-FLAT-IRREGULAR_METAL.tif,ORTHO,FLAT,IRREGULAR_METAL,TRAIN
29,1185.0,DOM,./data/tiles/RGB_DOM\DOM-1185-FLAT-CONCRETE_CEMENT.tif,DOM-1185-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
30,1189.0,DOM,./data/tiles/RGB_DOM\DOM-1189-NO_ROOF-INCOMPLETE.tif,DOM-1189-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
31,1191.0,DOM,./data/tiles/RGB_DOM\DOM-1191-GABLE-BLUE_TARP.tif,DOM-1191-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
32,1192.0,DOM,./data/tiles/RGB_DOM\DOM-1192-GABLE-BLUE_TARP.tif,DOM-1192-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
33,1202.0,DOM,./data/tiles/RGB_DOM\DOM-1202-HIP-INCOMPLETE.tif,DOM-1202-HIP-INCOMPLETE.tif,ORTHO,HIP,INCOMPLETE,TRAIN
34,1205.0,DOM,./data/tiles/RGB_DOM\DOM-1205-HIP-HEALTHY_METAL.tif,DOM-1205-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
35,1206.0,DOM,./data/tiles/RGB_DOM\DOM-1206-GABLE-IRREGULAR_METAL.tif,DOM-1206-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
36,1207.0,DOM,./data/tiles/RGB_DOM\DOM-1207-FLAT-CONCRETE_CEMENT.tif,DOM-1207-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
37,1208.0,DOM,./data/tiles/RGB_DOM\DOM-1208-GABLE-HEALTHY_METAL.tif,DOM-1208-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
38,1210.0,DOM,./data/tiles/RGB_DOM\DOM-1210-FLAT-IRREGULAR_METAL.tif,DOM-1210-FLAT-IRREGULAR_METAL.tif,ORTHO,FLAT,IRREGULAR_METAL,TRAIN
39,1213.0,DOM,./data/tiles/RGB_DOM\DOM-1213-FLAT-BLUE_TARP.tif,DOM-1213-FLAT-BLUE_TARP.tif,ORTHO,FLAT,BLUE_TARP,TRAIN
40,1215.0,DOM,./data/tiles/RGB_DOM\DOM-1215-GABLE-IRREGULAR_METAL.tif,DOM-1215-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
41,1217.0,DOM,./data/tiles/RGB_DOM\DOM-1217-HIP-HEALTHY_METAL.tif,DOM-1217-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
42,1219.0,DOM,./data/tiles/RGB_DOM\DOM-1219-FLAT-BLUE_TARP.tif,DOM-1219-FLAT-BLUE_TARP.tif,ORTHO,FLAT,BLUE_TARP,TRAIN
43,1220.0,DOM,./data/tiles/RGB_DOM\DOM-1220-HIP-HEALTHY_METAL.tif,DOM-1220-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
44,1221.0,DOM,./data/tiles/RGB_DOM\DOM-1221-NO_ROOF-INCOMPLETE.tif,DOM-1221-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
45,1227.0,DOM,./data/tiles/RGB_DOM\DOM-1227-NO_ROOF-INCOMPLETE.tif,DOM-1227-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
46,1229.0,DOM,./data/tiles/RGB_DOM\DOM-1229-GABLE-HEALTHY_METAL.tif,DOM-1229-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
47,1230.0,DOM,./data/tiles/RGB_DOM\DOM-1230-GABLE-IRREGULAR_METAL.tif,DOM-1230-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
48,1231.0,DOM,./data/tiles/RGB_DOM\DOM-1231-HIP-HEALTHY_METAL.tif,DOM-1231-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
49,1232.0,DOM,./data/tiles/RGB_DOM\DOM-1232-NO_ROOF-INCOMPLETE.tif,DOM-1232-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
50,1233.0,DOM,./data/tiles/RGB_DOM\DOM-1233-GABLE-IRREGULAR_METAL.tif,DOM-1233-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
51,1236.0,DOM,./data/tiles/RGB_DOM\DOM-1236-GABLE-IRREGULAR_METAL.tif,DOM-1236-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
52,1238.0,DOM,./data/tiles/RGB_DOM\DOM-1238-NO_ROOF-INCOMPLETE.tif,DOM-1238-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
53,1241.0,DOM,./data/tiles/RGB_DOM\DOM-1241-NO_ROOF-INCOMPLETE.tif,DOM-1241-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
54,1242.0,DOM,./data/tiles/RGB_DOM\DOM-1242-FLAT-IRREGULAR_METAL.tif,DOM-1242-FLAT-IRREGULAR_METAL.tif,ORTHO,FLAT,IRREGULAR_METAL,TRAIN
55,1246.0,DOM,./data/tiles/RGB_DOM\DOM-1246-NO_ROOF-INCOMPLETE.tif,DOM-1246-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
56,1247.0,DOM,./data/tiles/RGB_DOM\DOM-1247-HIP-IRREGULAR_METAL.tif,DOM-1247-HIP-IRREGULAR_METAL.tif,ORTHO,HIP,IRREGULAR_METAL,TRAIN
57,1248.0,DOM,./data/tiles/RGB_DOM\DOM-1248-FLAT-CONCRETE_CEMENT.tif,DOM-1248-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
58,1249.0,DOM,./data/tiles/RGB_DOM\DOM-1249-HIP-HEALTHY_METAL.tif,DOM-1249-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
59,1253.0,DOM,./data/tiles/RGB_DOM\DOM-1253-GABLE-BLUE_TARP.tif,DOM-1253-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
60,1256.0,DOM,./data/tiles/RGB_DOM\DOM-1256-GABLE-HEALTHY_METAL.tif,DOM-1256-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
61,1258.0,DOM,./data/tiles/RGB_DOM\DOM-1258-HIP-INCOMPLETE.tif,DOM-1258-HIP-INCOMPLETE.tif,ORTHO,HIP,INCOMPLETE,TRAIN
62,1259.0,DOM,./data/tiles/RGB_DOM\DOM-1259-NO_ROOF-INCOMPLETE.tif,DOM-1259-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
63,1260.0,DOM,./data/tiles/RGB_DOM\DOM-1260-FLAT-CONCRETE_CEMENT.tif,DOM-1260-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
64,1261.0,DOM,./data/tiles/RGB_DOM\DOM-1261-GABLE-IRREGULAR_METAL.tif,DOM-1261-GABLE-IRREGULAR_METAL.tif,ORTHO,GABLE,IRREGULAR_METAL,TRAIN
65,1264.0,DOM,./data/tiles/RGB_DOM\DOM-1264-GABLE-BLUE_TARP.tif,DOM-1264-GABLE-BLUE_TARP.tif,ORTHO,GABLE,BLUE_TARP,TRAIN
66,1265.0,DOM,./data/tiles/RGB_DOM\DOM-1265-GABLE-HEALTHY_METAL.tif,DOM-1265-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
