UID,aoi,filepath,filename,image_src,roof_type,roof_material,dataset
1423,LCA,./data/tiles/RGB_LCA\LCA-1423-NO_ROOF-INCOMPLETE.tif,LCA-1423-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2126,LCA,./data/tiles/RGB_LCA\LCA-2126-NO_ROOF-INCOMPLETE.tif,LCA-2126-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2200,LCA,./data/tiles/RGB_LCA\LCA-2200-NO_ROOF-INCOMPLETE.tif,LCA-2200-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2314,LCA,./data/tiles/RGB_LCA\LCA-2314-FLAT-CONCRETE_CEMENT.tif,LCA-2314-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
2360,LCA,./data/tiles/RGB_LCA\LCA-2360-NO_ROOF-INCOMPLETE.tif,LCA-2360-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2365,LCA,./data/tiles/RGB_LCA\LCA-2365-NO_ROOF-INCOMPLETE.tif,LCA-2365-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2367,LCA,./data/tiles/RGB_LCA\LCA-2367-GABLE-INCOMPLETE.tif,LCA-2367-GABLE-INCOMPLETE.tif,ORTHO,GABLE,INCOMPLETE,TEST
2375,LCA,./data/tiles/RGB_LCA\LCA-2375-FLAT-CONCRETE_CEMENT.tif,LCA-2375-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
2378,LCA,./data/tiles/RGB_LCA\LCA-2378-FLAT-CONCRETE_CEMENT.tif,LCA-2378-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TRAIN
2420,LCA,./data/tiles/RGB_LCA\LCA-2420-NO_ROOF-INCOMPLETE.tif,LCA-2420-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2446,LCA,./data/tiles/RGB_LCA\LCA-2446-HIP-HEALTHY_METAL.tif,LCA-2446-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TEST
2456,LCA,./data/tiles/RGB_LCA\LCA-2456-NO_ROOF-INCOMPLETE.tif,LCA-2456-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TEST
2472,LCA,./data/tiles/RGB_LCA\LCA-2472-NO_ROOF-INCOMPLETE.tif,LCA-2472-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2478,LCA,./data/tiles/RGB_LCA\LCA-2478-GABLE-HEALTHY_METAL.tif,LCA-2478-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TEST
2525,LCA,./data/tiles/RGB_LCA\LCA-2525-GABLE-HEALTHY_METAL.tif,LCA-2525-GABLE-HEALTHY_METAL.tif,ORTHO,GABLE,HEALTHY_METAL,TRAIN
2595,LCA,./data/tiles/RGB_LCA\LCA-2595-HIP-HEALTHY_METAL.tif,LCA-2595-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
2601,LCA,./data/tiles/RGB_LCA\LCA-2601-NO_ROOF-INCOMPLETE.tif,LCA-2601-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TRAIN
2617,LCA,./data/tiles/RGB_LCA\LCA-2617-HIP-HEALTHY_METAL.tif,LCA-2617-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TEST
2618,LCA,./data/tiles/RGB_LCA\LCA-2618-FLAT-CONCRETE_CEMENT.tif,LCA-2618-FLAT-CONCRETE_CEMENT.tif,ORTHO,FLAT,CONCRETE_CEMENT,TEST
2619,LCA,./data/tiles/RGB_LCA\LCA-2619-NO_ROOF-INCOMPLETE.tif,LCA-2619-NO_ROOF-INCOMPLETE.tif,ORTHO,NO_ROOF,INCOMPLETE,TEST
2641,LCA,./data/tiles/RGB_LCA\LCA-2641-HIP-HEALTHY_METAL.tif,LCA-2641-HIP-HEALTHY_METAL.tif,ORTHO,HIP,HEALTHY_METAL,TRAIN
2661,LCA,./data/tiles/RGB_LCA\LCA-2661-FLAT-HEALTHY_METAL.tif,LCA-2661-FLAT-HEALTHY_METAL.tif,ORTHO,FLAT,HEALTHY_METAL,TEST
